input,expected_output,context
Which anime in the context follows bounty hunters traveling through space aboard a spaceship called the Bebop?,Cowboy Bebop,"Name: Cowboy Bebop | Score: 8.78 | Genres: Action, Adventure, Comedy, Drama, Sci-Fi, Space | Synopsis: In the year 2071, humanity has colonized several planets and moons. The ragtag team aboard the spaceship Bebop includes Spike Spiegel and Jet Black, who make a living chasing bounties and collecting rewards. Faye Valentine, Edward Wong, and Ein later join them."
"What is Vash the Stampede's bounty, and what is he actually like according to the context?","Vash the Stampede has a $60,000,000,000 bounty on his head. Although he is rumored to be a merciless villain, he is actually a soft-hearted person who claims to have never taken a life and avoids violence.","Name: Trigun | Score: 8.24 | Genres: Action, Sci-Fi, Adventure, Comedy, Drama, Shounen | Synopsis: Vash the Stampede is the man with a $60,000,000,000 bounty on his head. He is rumored to be a merciless villain called the Humanoid Typhoon. In actuality, Vash is a huge softie who claims to have never taken a life and avoids violence at all costs. He travels across the planet Gunsmoke while being followed by insurance agents Meryl Stryfe and Milly Thompson."
Why does Dr. Tenma's life change after choosing to operate on Johan Liebert?,"Dr. Tenma's decision to operate on Johan leads to serious consequences, including the loss of his social standing. Years later, after Tenma saves a criminal, his past returns to haunt him and he must pursue the person he once saved.","Name: Monster | Score: 8.76 | Genres: Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller | Synopsis: Dr. Kenzou Tenma is an elite neurosurgeon. He chooses to perform life-saving surgery on the young boy Johan Liebert instead of the town's mayor. This decision causes serious ramifications for Tenma, including the loss of his social standing. Nine years later, after Tenma saves the life of a criminal, his past comes back to haunt him and he must pursue the person he saved."
What is the main conflict faced by Shinji Ikari in The End of Evangelion?,Shinji struggles with an ultimatum about humanity's future: whether to completely accept mankind's existence or renounce humanity's individuality.,"Name: Neon Genesis Evangelion: The End of Evangelion | Score: 8.51 | Genres: Sci-Fi, Dementia, Psychological, Drama, Mecha | Synopsis: After the final Angel is defeated, Nerv faces humans under Seele's command. Shinji Ikari is left in a deep depression and struggles with the ultimatum of completely accepting mankind's existence or renouncing humanity's individuality. Meanwhile, Gendou Ikari and Rei Ayanami approach Lilith with their own ideals concerning the future of the world."
Who leads Public Security Section 9's investigation into the mysterious hacker known as the Puppet Master?,Major Motoko Kusanagi leads the investigation.,"Name: Koukaku Kidoutai | Score: 8.29 | Genres: Action, Mecha, Police, Psychological, Sci-Fi, Seinen | Synopsis: In 2029, Niihama City is a technologically advanced metropolis where cybernetics are widespread. Public Security Section 9 combats corruption, terrorism, and other threats. The strong-willed Major Motoko Kusanagi spearheads a case involving a mysterious hacker known as the Puppet Master, who leaves victims stripped of their memories."
What happens to Shiro Amada's loyalty when he meets Aina Sahalin again?,Shiro's resolve to continue fighting is weakened because Aina Sahalin is an ace Zeon pilot he previously met. He must prove his loyalty to the Federation or risk being branded a traitor.,"Name: Mobile Suit Gundam: The 08th MS Team | Score: 8.03 | Genres: Adventure, Drama, Mecha, Military, Romance, Sci-Fi | Synopsis: Ensign Shiro Amada is transferred to Southeast Asia to command the 08th MS Team. During a skirmish, Shiro encounters Aina Sahalin, an ace Zeon pilot he met in an earlier battle. Their reunion weakens his resolve to continue fighting, and Shiro must prove his loyalty to the Federation or be branded a traitor."
"What causes Ranma to transform into a girl, and how can he turn back?","Ranma turns into a girl when splashed with cold water, and hot water changes him back into a boy.","Name: Ranma ½ | Score: 7.76 | Genres: Slice of Life, Comedy, Martial Arts, Fantasy, Shounen | Synopsis: Ranma Saotome is a martial artist who, while training in China with his father, accidentally falls into a cursed spring. He is cursed to turn into a girl when splashed with cold water, while hot water turns him back into a boy."
What is the Alice Game in Rozen Maiden?,"The Alice Game is a competition in which the sentient Rozen Maiden dolls battle each other with the help of a human. The winner becomes Alice, a real girl worthy of meeting their creator, Rozen.","Name: Rozen Maiden | Score: 7.44 | Genres: Action, Comedy, Drama, Magic, Seinen | Synopsis: Jun Sakurada becomes involved with Shinku, a sentient wind-up doll from the Rozen Maiden collection. The special dolls, created by the legendary dollmaker Rozen, must battle each other in a competition called the Alice Game with the help of a human. The winner becomes Alice, a real girl worthy of meeting their creator."
Why does Daisuke Niwa transform into Dark Mousy?,"Daisuke transforms into Dark Mousy whenever his mind is set on his longtime crush, Risa Harada.","Name: D.N.Angel | Score: 7.20 | Genres: Action, Comedy, Magic, Romance, Fantasy, School, Shoujo | Synopsis: Daisuke Niwa is a clumsy middle school student. On his 14th birthday, he decides to confess his love to Risa Harada but is rejected. He then discovers that he transforms into Dark Mousy, an infamous phantom thief, whenever his mind is set on Risa. His mother had planned for him to steal valuable works of art."
"Who is Himeno Awayuki asked to become, and what must she do?","Himeno is asked by the seven Leafe Knights to become the Prétear, a magical princess who can borrow their powers. She must protect the world and its Leafe from the Princess of Disaster.","Name: Shin Shirayuki-hime Densetsu Prétear | Score: 7.20 | Genres: Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power | Synopsis: After her father's remarriage, 16-year-old Himeno Awayuki moves into a large mansion but struggles with her new family. Her life changes when seven magical boys called the Leafe Knights ask her to become a magical princess who can borrow their powers. She becomes the Prétear and must protect the world and its Leafe, the source of energy for all life, from the Princess of Disaster."
